epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.1536,3.87302,4.16447,3.16601,0.00735,0.00894,0.00463,0.00145,3.79299,4.455,3.07066,0.0881176,0.00792157,0.00792157
2,99.9905,2.77502,2.9697,1.98123,0.15626,0.07329,0.03641,0.01459,2.68338,inf,2.12179,0.076046,0.0158499,0.0158499
3,158.387,2.44481,2.63798,1.703,0.09076,0.12936,0.0739,0.03287,2.19319,4.40346,1.65522,0.0639024,0.0237063,0.0237063
4,209.126,2.25266,2.38667,1.57702,0.11979,0.11945,0.08403,0.04066,2.13652,3.86204,1.54736,0.0516867,0.0314906,0.0314906
5,233.927,2.11522,2.1981,1.49068,0.09305,0.09887,0.05435,0.02456,2.36993,2.88738,1.73717,0.0393991,0.039203,0.039203
6,264.397,1.98952,2.09905,1.45871,0.11473,0.17811,0.09749,0.04464,2.19336,2.19509,1.49721,0.0391,0.0391,0.0391
7,288.258,1.8957,1.92293,1.39262,0.15765,0.19029,0.12993,0.06438,2.02716,1.99992,1.408,0.03892,0.03892,0.03892
8,313.46,1.88107,1.84347,1.36698,0.2248,0.17965,0.14066,0.0712,1.94521,1.85244,1.38317,0.03874,0.03874,0.03874
9,333.923,1.82895,1.74462,1.32071,0.24208,0.20533,0.16009,0.08649,1.82507,1.81978,1.29615,0.03856,0.03856,0.03856
10,356.749,1.79694,1.70368,1.30589,0.32199,0.20618,0.16553,0.08832,1.81465,1.75666,1.31524,0.03838,0.03838,0.03838
11,378.898,1.77782,1.68675,1.29003,0.26413,0.22993,0.1878,0.10379,1.77097,1.66401,1.25474,0.0382,0.0382,0.0382
12,400.627,1.76355,1.64075,1.27579,0.28996,0.21931,0.18798,0.10363,1.74542,1.61004,1.25061,0.03802,0.03802,0.03802
13,422.539,1.74115,1.59597,1.26098,0.30199,0.24235,0.21338,0.11287,1.75025,1.55885,1.24525,0.03784,0.03784,0.03784
14,443.658,1.72536,1.58867,1.25164,0.25642,0.22291,0.18588,0.1028,1.74582,1.60313,1.2291,0.03766,0.03766,0.03766
15,463.654,1.73314,1.59443,1.24382,0.29148,0.23576,0.21028,0.11763,1.72247,1.52,1.22274,0.03748,0.03748,0.03748
16,484.686,1.70951,1.55158,1.24381,0.28813,0.2287,0.20147,0.11635,1.71757,1.60951,1.20414,0.0373,0.0373,0.0373
17,508.686,1.7009,1.5467,1.22452,0.334,0.25757,0.23589,0.13201,1.68021,1.48416,1.19449,0.03712,0.03712,0.03712
18,529.895,1.68187,1.4969,1.21977,0.33495,0.26652,0.24673,0.13672,1.66505,1.46345,1.19042,0.03694,0.03694,0.03694
19,553.9,1.679,1.49406,1.21296,0.30145,0.26083,0.23184,0.13172,1.64807,1.47406,1.19002,0.03676,0.03676,0.03676
20,574.535,1.66497,1.47938,1.20678,0.32622,0.25819,0.24895,0.13912,1.63664,1.43196,1.17315,0.03658,0.03658,0.03658
