epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.3369,3.79538,3.98805,2.99384,0.00983,0.02289,0.0072,0.00221,3.64049,4.2377,2.80705,0.0881176,0.00792157,0.00792157
2,95.3115,2.77581,2.93539,1.96305,0.1718,0.082,0.04983,0.01962,2.57517,inf,1.92937,0.076046,0.0158499,0.0158499
3,164.159,2.44879,2.63015,1.69856,0.06325,0.11466,0.06057,0.02653,2.30321,inf,1.72694,0.0639024,0.0237063,0.0237063
4,237.343,2.26095,2.37226,1.5716,0.18195,0.08683,0.05516,0.02977,2.37679,inf,1.61136,0.0516867,0.0314906,0.0314906
5,262.949,2.11957,2.20041,1.47821,0.02786,0.08349,0.02662,0.01211,2.65619,4.02615,2.042,0.0393991,0.039203,0.039203
6,290.094,1.98843,2.08725,1.43121,0.10824,0.16021,0.09487,0.04547,2.1602,2.63638,1.45905,0.0391,0.0391,0.0391
7,312.536,1.89572,1.91434,1.3713,0.14291,0.17072,0.11782,0.05947,1.97763,2.19374,1.37845,0.03892,0.03892,0.03892
8,331.409,1.87677,1.84562,1.34392,0.21435,0.17754,0.14049,0.07274,1.98633,1.80739,1.34888,0.03874,0.03874,0.03874
9,352.683,1.82238,1.745,1.30158,0.23949,0.23874,0.16547,0.0887,1.84535,1.79969,1.28272,0.03856,0.03856,0.03856
10,382.246,1.79711,1.70976,1.28701,0.23593,0.21944,0.15956,0.08897,1.81585,1.85731,1.2784,0.03838,0.03838,0.03838
11,402.404,1.77921,1.69845,1.27282,0.22856,0.20573,0.16744,0.09104,1.78879,1.69728,1.25082,0.0382,0.0382,0.0382
12,420.24,1.7692,1.64719,1.26055,0.2369,0.21144,0.1786,0.09334,1.81432,1.68305,1.25668,0.03802,0.03802,0.03802
13,441.353,1.74016,1.61,1.24263,0.27525,0.24249,0.1935,0.10355,1.77432,1.67122,1.23682,0.03784,0.03784,0.03784
14,462.065,1.72364,1.59403,1.23188,0.26936,0.23642,0.19412,0.10607,1.72669,1.59461,1.22307,0.03766,0.03766,0.03766
15,482.781,1.73539,1.60556,1.22895,0.31408,0.25143,0.22,0.124,1.69639,1.54205,1.20342,0.03748,0.03748,0.03748
16,506.648,1.7087,1.56775,1.2262,0.3021,0.24182,0.21395,0.11808,1.7374,1.60967,1.19299,0.0373,0.0373,0.0373
17,525.017,1.70102,1.56273,1.20847,0.33719,0.2538,0.23243,0.12854,1.68321,1.50926,1.18618,0.03712,0.03712,0.03712
18,543.393,1.68072,1.5182,1.20224,0.33266,0.25572,0.23804,0.13171,1.67462,1.47235,1.1785,0.03694,0.03694,0.03694
19,561.729,1.67587,1.51037,1.19701,0.3187,0.26889,0.23995,0.13401,1.66025,1.45337,1.18392,0.03676,0.03676,0.03676
20,580.664,1.67013,1.50001,1.19054,0.36,0.25785,0.23856,0.13369,1.63287,1.43782,1.15852,0.03658,0.03658,0.03658
21,602.188,1.66374,1.47813,1.19117,0.34374,0.26169,0.24689,0.13886,1.64135,1.44466,1.16047,0.0364,0.0364,0.0364
22,621.78,1.66607,1.49248,1.1754,0.34279,0.27678,0.24772,0.1399,1.62772,1.4868,1.14689,0.03622,0.03622,0.03622
23,639.216,1.64946,1.46867,1.17309,0.35867,0.26966,0.25751,0.14439,1.62517,1.41291,1.14956,0.03604,0.03604,0.03604
24,657.733,1.6461,1.46727,1.16394,0.36211,0.28407,0.26127,0.14579,1.62749,1.42652,1.14992,0.03586,0.03586,0.03586
25,676.963,1.63294,1.43381,1.17439,0.36774,0.2701,0.25397,0.1459,1.61332,1.41387,1.14056,0.03568,0.03568,0.03568
26,694.437,1.63834,1.44426,1.1623,0.3804,0.28282,0.27335,0.15348,1.60029,1.37315,1.13492,0.0355,0.0355,0.0355
27,713.408,1.64971,1.45795,1.1661,0.34898,0.27506,0.25944,0.14767,1.60535,1.40684,1.13253,0.03532,0.03532,0.03532
28,731.967,1.62766,1.44024,1.16031,0.38014,0.28006,0.26934,0.15232,1.59993,1.38399,1.13028,0.03514,0.03514,0.03514
29,750.516,1.61136,1.41091,1.15651,0.37197,0.29086,0.27484,0.15525,1.59146,1.36285,1.12909,0.03496,0.03496,0.03496
30,768.351,1.63044,1.42636,1.14789,0.36539,0.28921,0.27364,0.15618,1.58558,1.36616,1.1249,0.03478,0.03478,0.03478
31,785.724,1.63034,1.41456,1.15255,0.38304,0.28928,0.28133,0.16106,1.57857,1.35795,1.12658,0.0346,0.0346,0.0346
32,803.622,1.60618,1.40041,1.14819,0.36434,0.29294,0.27456,0.15584,1.59401,1.34893,1.12259,0.03442,0.03442,0.03442
33,823.449,1.61667,1.39346,1.14678,0.38661,0.29165,0.28314,0.15927,1.59993,1.35842,1.1315,0.03424,0.03424,0.03424
34,841.738,1.61674,1.40382,1.1444,0.39953,0.29253,0.28408,0.16209,1.5684,1.3408,1.11359,0.03406,0.03406,0.03406
35,859.727,1.61886,1.39737,1.14737,0.38512,0.29061,0.28234,0.16191,1.58735,1.35664,1.12208,0.03388,0.03388,0.03388
36,878.228,1.60283,1.38487,1.13981,0.39183,0.31374,0.29783,0.16996,1.54973,1.30287,1.11582,0.0337,0.0337,0.0337
37,896.749,1.60089,1.38611,1.13752,0.40513,0.3029,0.29861,0.17198,1.55141,1.30765,1.10805,0.03352,0.03352,0.03352
38,916.189,1.592,1.37009,1.13191,0.38833,0.30833,0.29667,0.16967,1.55633,1.31691,1.10763,0.03334,0.03334,0.03334
39,935.929,1.59994,1.36923,1.13004,0.40231,0.30448,0.2975,0.17148,1.54967,1.30515,1.10922,0.03316,0.03316,0.03316
40,954.653,1.59672,1.36182,1.13131,0.39277,0.31138,0.29653,0.16972,1.5432,1.30256,1.10336,0.03298,0.03298,0.03298
41,973.718,1.58494,1.34697,1.12489,0.38889,0.30396,0.29426,0.16902,1.55507,1.32189,1.10576,0.0328,0.0328,0.0328
42,993.302,1.60016,1.36863,1.12202,0.40284,0.30258,0.29493,0.16952,1.56025,1.31245,1.10589,0.03262,0.03262,0.03262
43,1010.82,1.57849,1.34981,1.12535,0.39872,0.30572,0.3003,0.17532,1.53247,1.29165,1.09663,0.03244,0.03244,0.03244
44,1028.66,1.5861,1.36039,1.12086,0.40716,0.31879,0.30665,0.17598,1.53374,1.28444,1.09585,0.03226,0.03226,0.03226
45,1050.03,1.57684,1.35786,1.12785,0.39613,0.30332,0.30257,0.17335,1.55281,1.3007,1.10272,0.03208,0.03208,0.03208
46,1069.56,1.56832,1.35134,1.11863,0.39242,0.31042,0.30001,0.17446,1.53192,1.28634,1.09611,0.0319,0.0319,0.0319
47,1087.01,1.57899,1.34366,1.12168,0.41019,0.31581,0.30525,0.1747,1.53798,1.27959,1.09555,0.03172,0.03172,0.03172
48,1104.27,1.56961,1.33426,1.1198,0.41867,0.3121,0.30589,0.17834,1.52699,1.27526,1.09539,0.03154,0.03154,0.03154
49,1124.19,1.5705,1.34364,1.12106,0.41654,0.30347,0.3038,0.17739,1.53243,1.29596,1.09925,0.03136,0.03136,0.03136
50,1143.19,1.55834,1.31762,1.11014,0.41382,0.3104,0.30743,0.17794,1.52288,1.27444,1.0944,0.03118,0.03118,0.03118
51,1160.84,1.56288,1.32554,1.11478,0.42066,0.32378,0.31501,0.18318,1.51694,1.26919,1.09122,0.031,0.031,0.031
52,1178.02,1.56942,1.33034,1.11866,0.40329,0.31668,0.30728,0.17813,1.52622,1.28221,1.09353,0.03082,0.03082,0.03082
53,1195.41,1.58285,1.33893,1.12016,0.41353,0.31896,0.30981,0.1791,1.52166,1.27895,1.09063,0.03064,0.03064,0.03064
54,1215.46,1.54315,1.32024,1.11318,0.4336,0.31621,0.31696,0.18379,1.51251,1.26728,1.08795,0.03046,0.03046,0.03046
55,1234.19,1.59065,1.33572,1.11663,0.42091,0.32583,0.31967,0.18635,1.50144,1.24617,1.08708,0.03028,0.03028,0.03028
56,1253.27,1.5607,1.3142,1.11362,0.43473,0.32503,0.32179,0.18788,1.50579,1.25432,1.08423,0.0301,0.0301,0.0301
57,1272.31,1.56629,1.31715,1.11964,0.41941,0.32442,0.31994,0.18585,1.511,1.25132,1.09276,0.02992,0.02992,0.02992
58,1290.17,1.59379,1.34465,1.12473,0.4177,0.32406,0.32057,0.1855,1.50981,1.25638,1.08207,0.02974,0.02974,0.02974
59,1307.89,1.5628,1.33508,1.10897,0.43075,0.33028,0.32199,0.18892,1.50258,1.24915,1.08175,0.02956,0.02956,0.02956
60,1325.3,1.55171,1.29432,1.10641,0.43696,0.32165,0.3223,0.18649,1.50643,1.24851,1.0835,0.02938,0.02938,0.02938
