epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.2354,3.83307,4.07079,3.05168,0.0124,0.0025,0.0069,0.00197,4.00689,4.33525,3.04797,0.0881176,0.00792157,0.00792157
2,134.202,2.83438,2.96703,2.03561,0.17291,0.06903,0.04038,0.01653,2.67143,2.62778,2.08621,0.076046,0.0158499,0.0158499
3,233.213,2.45173,2.56228,1.75935,0.0832,0.12638,0.07792,0.03529,2.29069,3.21374,1.72462,0.0639024,0.0237063,0.0237063
4,330.06,2.24928,2.28042,1.62667,0.15224,0.12734,0.08994,0.04271,2.22384,2.87267,1.62373,0.0516867,0.0314906,0.0314906
5,405.599,2.08215,2.08544,1.51605,0.19327,0.14042,0.10652,0.05282,2.07777,2.14214,1.55983,0.0393991,0.039203,0.039203
6,487.113,1.94257,1.9781,1.47857,0.19197,0.1642,0.11578,0.05872,1.97901,2.11692,1.47308,0.0391,0.0391,0.0391
7,557.75,1.84732,1.78426,1.42958,0.2035,0.197,0.14711,0.07542,1.89947,1.75012,1.4122,0.03892,0.03892,0.03892
8,626.352,1.80574,1.69071,1.39491,0.25169,0.20504,0.17366,0.09208,1.8612,1.66481,1.3755,0.03874,0.03874,0.03874
9,694.363,1.7643,1.61525,1.3499,0.25452,0.23124,0.17191,0.09511,1.80461,1.83143,1.34885,0.03856,0.03856,0.03856
10,766.421,1.73878,1.59318,1.33714,0.2758,0.21352,0.18692,0.10289,1.80431,1.73679,1.34982,0.03838,0.03838,0.03838
11,837.059,1.72226,1.57178,1.32659,0.31849,0.22866,0.21411,0.1204,1.72186,1.52693,1.29992,0.0382,0.0382,0.0382
12,907.098,1.70915,1.52702,1.31275,0.29605,0.23429,0.20776,0.11377,1.73284,1.57913,1.28579,0.03802,0.03802,0.03802
13,977.081,1.68007,1.49225,1.30515,0.34363,0.25009,0.23307,0.13242,1.6974,1.54153,1.27804,0.03784,0.03784,0.03784
14,1046.2,1.65587,1.48056,1.28581,0.32167,0.24996,0.2324,0.13051,1.69589,1.49251,1.27291,0.03766,0.03766,0.03766
15,1115.69,1.67982,1.48734,1.29088,0.35235,0.26136,0.24623,0.14285,1.64529,1.46426,1.25367,0.03748,0.03748,0.03748
16,1187.59,1.64575,1.44961,1.28503,0.37695,0.27254,0.26343,0.15154,1.63795,1.42006,1.24298,0.0373,0.0373,0.0373
17,1258.21,1.63546,1.43881,1.27141,0.37109,0.27306,0.26226,0.15084,1.61647,1.40308,1.22657,0.03712,0.03712,0.03712
18,1328.71,1.61912,1.39745,1.26349,0.36769,0.27779,0.26725,0.15279,1.6065,1.39019,1.22618,0.03694,0.03694,0.03694
19,1398.92,1.61725,1.39335,1.26125,0.36202,0.2902,0.26904,0.15428,1.61328,1.37616,1.23476,0.03676,0.03676,0.03676
20,1469.49,1.60271,1.37702,1.25609,0.40868,0.28953,0.27985,0.16055,1.56978,1.3585,1.21346,0.03658,0.03658,0.03658
21,1540.84,1.60356,1.36455,1.26202,0.38562,0.29628,0.28459,0.16382,1.56897,1.34069,1.21431,0.0364,0.0364,0.0364
22,1612.4,1.60001,1.36835,1.2373,0.35385,0.28919,0.26628,0.14873,1.63053,1.40227,1.22798,0.03622,0.03622,0.03622
23,1685.46,1.58955,1.34902,1.24366,0.40125,0.29504,0.29064,0.16862,1.57671,1.35003,1.21368,0.03604,0.03604,0.03604
24,1755.54,1.58158,1.35198,1.23038,0.38611,0.30502,0.29321,0.16996,1.55588,1.32085,1.1977,0.03586,0.03586,0.03586
25,1824.57,1.57322,1.32431,1.24901,0.39774,0.31064,0.29647,0.16908,1.5692,1.31731,1.20904,0.03568,0.03568,0.03568
26,1894.37,1.57272,1.32253,1.23186,0.40169,0.31215,0.30596,0.17714,1.53562,1.28651,1.18996,0.0355,0.0355,0.0355
27,1963.54,1.58666,1.3432,1.24337,0.39717,0.30115,0.29405,0.17177,1.54418,1.30776,1.19625,0.03532,0.03532,0.03532
28,2033.03,1.55528,1.31004,1.23037,0.41185,0.30937,0.30653,0.17851,1.53375,1.29485,1.18864,0.03514,0.03514,0.03514
29,2103.03,1.54744,1.29104,1.22861,0.42838,0.30992,0.31206,0.1829,1.53861,1.27758,1.1895,0.03496,0.03496,0.03496
30,2171.44,1.56009,1.30302,1.21683,0.39994,0.30743,0.30139,0.17392,1.53938,1.29385,1.1915,0.03478,0.03478,0.03478
31,2241.23,1.56111,1.29592,1.22409,0.40919,0.31669,0.31504,0.18447,1.51743,1.27613,1.18428,0.0346,0.0346,0.0346
32,2311.05,1.53686,1.28067,1.2222,0.42909,0.31163,0.31559,0.18362,1.52436,1.26348,1.18882,0.03442,0.03442,0.03442
33,2381.42,1.54162,1.27629,1.21818,0.41441,0.31211,0.31664,0.18527,1.51835,1.27296,1.18378,0.03424,0.03424,0.03424
34,2451.19,1.54831,1.28791,1.21902,0.41347,0.32553,0.3179,0.18525,1.52419,1.26833,1.17854,0.03406,0.03406,0.03406
35,2521.33,1.546,1.28118,1.21661,0.43946,0.31344,0.32264,0.1892,1.51047,1.26933,1.18246,0.03388,0.03388,0.03388
36,2590.87,1.54118,1.26976,1.21752,0.4072,0.31183,0.30909,0.18138,1.52329,1.27235,1.18086,0.0337,0.0337,0.0337
37,2660.46,1.53631,1.26987,1.21343,0.44582,0.3203,0.3269,0.19234,1.49299,1.24662,1.16987,0.03352,0.03352,0.03352
38,2730.4,1.52651,1.25655,1.20736,0.42767,0.33158,0.32892,0.19333,1.49502,1.23693,1.16898,0.03334,0.03334,0.03334
39,2803.65,1.52404,1.24837,1.20101,0.43667,0.3258,0.33,0.19414,1.4887,1.233,1.16758,0.03316,0.03316,0.03316
40,2873.63,1.52605,1.24926,1.20336,0.45431,0.31852,0.32903,0.1938,1.49724,1.24287,1.16475,0.03298,0.03298,0.03298
41,2943.43,1.51075,1.22816,1.19611,0.44434,0.32211,0.32822,0.19387,1.49311,1.24757,1.16095,0.0328,0.0328,0.0328
42,3014.57,1.53119,1.24653,1.19395,0.43178,0.33251,0.33353,0.19563,1.4921,1.22138,1.16609,0.03262,0.03262,0.03262
43,3083.75,1.51049,1.22819,1.19857,0.41898,0.33455,0.33142,0.19684,1.48526,1.22711,1.16153,0.03244,0.03244,0.03244
44,3155.51,1.51725,1.23577,1.19281,0.44978,0.33065,0.33707,0.19764,1.48665,1.22493,1.16995,0.03226,0.03226,0.03226
45,3225.99,1.50758,1.24761,1.20677,0.44903,0.33871,0.34136,0.20243,1.47492,1.20402,1.15539,0.03208,0.03208,0.03208
46,3298.14,1.49876,1.23108,1.19287,0.45687,0.33371,0.34439,0.20265,1.48959,1.21845,1.16176,0.0319,0.0319,0.0319
47,3366.93,1.50853,1.22406,1.19567,0.45902,0.34099,0.34657,0.20413,1.47522,1.20027,1.15776,0.03172,0.03172,0.03172
