epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.8627,3.71118,3.87973,2.94384,0,0,0,0,4.28291,4.73075,3.20892,0.0881176,0.00792157,0.00792157
2,77.081,2.70104,2.85994,1.9445,0.1711,0.10621,0.05985,0.0246,2.49148,3.07221,1.86112,0.076046,0.0158499,0.0158499
3,149.741,2.38758,2.56946,1.70496,0.11489,0.15259,0.08886,0.0391,2.22815,4.56846,1.70267,0.0639024,0.0237063,0.0237063
4,222.949,2.1955,2.3136,1.5604,0.15152,0.14947,0.0889,0.04094,2.14542,3.9737,1.55751,0.0516867,0.0314906,0.0314906
5,255.311,2.04228,2.10238,1.44957,0.07163,0.1912,0.07187,0.03318,2.11617,2.59183,1.59846,0.0393991,0.039203,0.039203
6,304.99,1.92264,2.01806,1.40352,0.09752,0.21616,0.10117,0.04673,1.97712,2.74761,1.39953,0.0391,0.0391,0.0391
7,335.32,1.8097,1.80942,1.33767,0.70729,0.04696,0.08355,0.04026,2.36704,2.90643,1.54691,0.03892,0.03892,0.03892
8,370.074,1.78829,1.72478,1.30458,0.23706,0.20298,0.1538,0.08046,1.83562,1.73763,1.30674,0.03874,0.03874,0.03874
9,397.871,1.73382,1.63131,1.25875,0.25099,0.26228,0.18713,0.10116,1.75489,1.65304,1.25843,0.03856,0.03856,0.03856
10,434.628,1.70769,1.59624,1.24238,0.24584,0.18839,0.16162,0.08707,1.7894,1.7838,1.2801,0.03838,0.03838,0.03838
11,462.835,1.68389,1.57609,1.22529,0.28876,0.24743,0.21204,0.11685,1.70283,1.59169,1.22894,0.0382,0.0382,0.0382
12,492.691,1.68084,1.5291,1.21765,0.26155,0.20537,0.1726,0.09154,1.8249,1.62359,1.25683,0.03802,0.03802,0.03802
13,521.166,1.65166,1.49267,1.20338,0.32081,0.27343,0.2393,0.13299,1.63998,1.44412,1.17442,0.03784,0.03784,0.03784
14,549.305,1.6313,1.48251,1.18721,0.31152,0.23287,0.21526,0.11916,1.68862,1.48779,1.19798,0.03766,0.03766,0.03766
15,577.607,1.64149,1.47594,1.18718,0.32956,0.27435,0.24624,0.14106,1.61995,1.42817,1.16573,0.03748,0.03748,0.03748
16,609.986,1.61562,1.44923,1.18114,0.33345,0.27177,0.24177,0.13805,1.58646,1.52136,1.15482,0.0373,0.0373,0.0373
17,640.134,1.61089,1.44047,1.16664,0.37322,0.28333,0.27074,0.15503,1.59043,1.38356,1.14944,0.03712,0.03712,0.03712
18,670.455,1.58995,1.39522,1.15962,0.35638,0.29321,0.273,0.1555,1.57833,1.36386,1.14346,0.03694,0.03694,0.03694
19,698.361,1.58917,1.39471,1.15544,0.35367,0.29605,0.27108,0.15615,1.57351,1.35949,1.14572,0.03676,0.03676,0.03676
20,726.287,1.57808,1.38104,1.15173,0.38281,0.31141,0.28659,0.16371,1.54319,1.31575,1.13666,0.03658,0.03658,0.03658
21,756.716,1.57471,1.36118,1.15343,0.38736,0.30073,0.29123,0.1684,1.54132,1.32911,1.13431,0.0364,0.0364,0.0364
22,785.133,1.57623,1.37001,1.14003,0.37415,0.32017,0.29736,0.17001,1.54893,1.32194,1.11774,0.03622,0.03622,0.03622
23,812.401,1.56155,1.34673,1.1375,0.38783,0.31077,0.29814,0.17326,1.53311,1.29768,1.11579,0.03604,0.03604,0.03604
24,843.413,1.55195,1.34578,1.12764,0.38911,0.30765,0.29785,0.17209,1.53225,1.32475,1.11628,0.03586,0.03586,0.03586
25,871.06,1.54525,1.31909,1.13714,0.4094,0.31736,0.30431,0.17709,1.51944,1.28631,1.11297,0.03568,0.03568,0.03568
26,898.357,1.54644,1.31866,1.12523,0.40673,0.31736,0.30429,0.17759,1.50732,1.2694,1.10524,0.0355,0.0355,0.0355
27,926.373,1.55549,1.33644,1.12818,0.40171,0.3094,0.30749,0.17795,1.51053,1.2804,1.10339,0.03532,0.03532,0.03532
28,953.333,1.53536,1.31825,1.12499,0.40777,0.3102,0.30344,0.17451,1.5267,1.28026,1.10306,0.03514,0.03514,0.03514
