epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.9302,4.63834,4.41882,3.26612,0,0,0,0,4.91959,4.17086,3.01017,0.0882353,0.00784314,0.00784314
2,21.9259,3.28026,2.95853,1.78574,0.01938,0.04608,0.01678,0.00574,3.35313,3.6728,2.07102,0.076164,0.0157718,0.0157718
3,33.5279,2.84686,2.61292,1.54092,0.04266,0.11146,0.04592,0.01665,2.66217,2.94406,1.46024,0.0640207,0.0236285,0.0236285
4,49.8693,2.57134,2.30059,1.41956,0.68894,0.03005,0.04703,0.0178,2.5977,4.30374,1.39808,0.0518054,0.0314133,0.0314133
5,63.3517,2.35742,2.09538,1.33245,0.39097,0.03305,0.03969,0.01499,2.68259,3.82952,1.40274,0.0395181,0.039126,0.039126
6,78.1983,2.09779,1.90229,1.26775,0.10269,0.10238,0.06983,0.03123,2.13756,2.84646,1.28159,0.0391,0.0391,0.0391
7,89.8435,1.95748,1.69283,1.21512,0.10317,0.13331,0.08392,0.04057,2.07245,2.65332,1.23705,0.03892,0.03892,0.03892
8,102.944,1.90295,1.60913,1.18529,0.16172,0.14165,0.10802,0.05235,1.88106,1.69777,1.14948,0.03874,0.03874,0.03874
9,113.209,1.82902,1.53208,1.15142,0.19885,0.16998,0.12303,0.0639,1.80463,1.50049,1.12161,0.03856,0.03856,0.03856
10,123.512,1.75744,1.4655,1.13542,0.202,0.18654,0.14126,0.07255,1.76788,1.49469,1.10201,0.03838,0.03838,0.03838
11,133.429,1.74768,1.47411,1.13152,0.24341,0.19444,0.15794,0.08097,1.7404,1.40175,1.08821,0.0382,0.0382,0.0382
12,146.263,1.73259,1.41445,1.11502,0.21709,0.18563,0.15313,0.08127,1.74001,1.4502,1.08043,0.03802,0.03802,0.03802
13,156.948,1.74603,1.40691,1.10455,0.23816,0.19531,0.15845,0.0844,1.73603,1.43542,1.06641,0.03784,0.03784,0.03784
14,166.571,1.68294,1.37362,1.08512,0.26122,0.21483,0.18128,0.09579,1.68952,1.32838,1.05214,0.03766,0.03766,0.03766
15,176.525,1.70488,1.3869,1.08228,0.26619,0.21345,0.17804,0.09631,1.70784,1.35321,1.04889,0.03748,0.03748,0.03748
16,186.259,1.67641,1.34374,1.07793,0.25607,0.20494,0.1808,0.09623,1.7089,1.35911,1.04424,0.0373,0.0373,0.0373
17,196.196,1.65695,1.33136,1.07207,0.29683,0.21353,0.18651,0.1014,1.66277,1.31276,1.0434,0.03712,0.03712,0.03712
18,206.009,1.63799,1.31494,1.06322,0.30919,0.21605,0.19346,0.10404,1.6602,1.29463,1.03308,0.03694,0.03694,0.03694
19,216.533,1.63203,1.30224,1.05855,0.292,0.2181,0.19461,0.10494,1.64281,1.29685,1.02422,0.03676,0.03676,0.03676
20,227.293,1.62051,1.28928,1.051,0.30903,0.2242,0.20213,0.10901,1.61649,1.26772,1.0212,0.03658,0.03658,0.03658
21,237.335,1.61518,1.27074,1.05636,0.30563,0.22646,0.2088,0.11353,1.60923,1.2822,1.02073,0.0364,0.0364,0.0364
22,247.15,1.62558,1.28834,1.04473,0.31688,0.24485,0.21976,0.11898,1.58056,1.224,1.01102,0.03622,0.03622,0.03622
23,257.359,1.59144,1.24603,1.04576,0.30841,0.24229,0.2177,0.11837,1.5741,1.24064,1.00746,0.03604,0.03604,0.03604
24,267.169,1.60489,1.25725,1.03585,0.32062,0.2386,0.21745,0.11945,1.56487,1.2319,1.0037,0.03586,0.03586,0.03586
