epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.2325,3.77417,3.93891,2.97509,0.00699,0.00072,0.00354,0.00107,3.97662,4.65309,3.03377,0.0881176,0.00792157,0.00792157
2,107.763,2.77012,2.93275,1.97028,0.24776,0.06449,0.0318,0.01296,2.63717,6.28599,2.01804,0.076046,0.0158499,0.0158499
3,184.937,2.44444,2.63319,1.70101,0.10396,0.13812,0.07274,0.03328,2.18661,inf,1.58293,0.0639024,0.0237063,0.0237063
4,266.746,2.25143,2.37149,1.55965,0.10721,0.09591,0.0696,0.03252,2.19636,4.6354,1.62579,0.0516867,0.0314906,0.0314906
5,294.376,2.09967,2.1937,1.45888,0.0671,0.14399,0.0605,0.02659,2.2838,2.91464,1.68162,0.0393991,0.039203,0.039203
6,349.064,1.9699,2.10763,1.40782,0.18738,0.14373,0.07828,0.03779,2.12047,2.44318,1.42643,0.0391,0.0391,0.0391
7,381.567,1.87172,1.90155,1.34208,0.1184,0.2373,0.13354,0.06598,1.93552,2.01707,1.35833,0.03892,0.03892,0.03892
8,408.668,1.85514,1.8213,1.3154,0.19105,0.18306,0.13271,0.0662,1.89701,1.84359,1.33143,0.03874,0.03874,0.03874
9,435.959,1.79495,1.72497,1.27376,0.2183,0.23934,0.14861,0.08034,1.83541,1.98395,1.28264,0.03856,0.03856,0.03856
10,472.81,1.76754,1.68516,1.25956,0.23971,0.1813,0.15288,0.08303,1.84808,1.91613,1.30852,0.03838,0.03838,0.03838
11,500.034,1.75025,1.6681,1.24763,0.29162,0.21195,0.19361,0.10981,1.76353,1.68484,1.22855,0.0382,0.0382,0.0382
12,526.272,1.73927,1.61239,1.23469,0.27019,0.22032,0.18787,0.10274,1.71847,1.59404,1.22665,0.03802,0.03802,0.03802
13,553.544,1.7147,1.5838,1.22166,0.30559,0.25588,0.21502,0.11687,1.73674,1.58579,1.21114,0.03784,0.03784,0.03784
14,579.994,1.69485,1.56789,1.20989,0.28792,0.23331,0.2,0.10837,1.74087,1.54648,1.20033,0.03766,0.03766,0.03766
15,607.213,1.70627,1.57334,1.20852,0.31815,0.24659,0.21986,0.12459,1.68562,1.53997,1.19308,0.03748,0.03748,0.03748
16,636.154,1.67738,1.53794,1.20283,0.30752,0.25602,0.21991,0.12127,1.69413,1.52771,1.19664,0.0373,0.0373,0.0373
17,663.609,1.67432,1.53196,1.18935,0.34697,0.25407,0.23274,0.13222,1.67485,1.53483,1.16652,0.03712,0.03712,0.03712
18,690.059,1.65129,1.47662,1.1824,0.3006,0.2572,0.22916,0.1297,1.67191,1.49254,1.16606,0.03694,0.03694,0.03694
19,720.952,1.64762,1.47478,1.17768,0.31378,0.27459,0.24196,0.13706,1.66055,1.52883,1.17098,0.03676,0.03676,0.03676
20,746.622,1.64195,1.46638,1.17443,0.35858,0.27705,0.252,0.14055,1.63567,1.4261,1.15952,0.03658,0.03658,0.03658
21,772.412,1.63867,1.44934,1.17369,0.36508,0.28344,0.26013,0.14547,1.61127,1.40216,1.14919,0.0364,0.0364,0.0364
22,799.514,1.64159,1.45687,1.16267,0.34739,0.27982,0.25977,0.14503,1.63198,1.42508,1.14479,0.03622,0.03622,0.03622
23,825.105,1.62452,1.43567,1.15764,0.37153,0.26896,0.26285,0.15001,1.59878,1.37756,1.14063,0.03604,0.03604,0.03604
24,850.83,1.62418,1.43314,1.15114,0.3554,0.28374,0.26935,0.15237,1.59977,1.38543,1.13857,0.03586,0.03586,0.03586
25,878.374,1.60492,1.40502,1.15792,0.37149,0.27528,0.26396,0.14956,1.60182,1.38871,1.14764,0.03568,0.03568,0.03568
26,904.115,1.61566,1.41236,1.14898,0.38244,0.28896,0.27814,0.15813,1.57651,1.35717,1.12765,0.0355,0.0355,0.0355
27,932.373,1.62317,1.42526,1.15218,0.36076,0.29613,0.27322,0.15518,1.58407,1.37223,1.12478,0.03532,0.03532,0.03532
28,958.476,1.60041,1.40913,1.14525,0.37816,0.27705,0.2656,0.1521,1.58222,1.39359,1.13053,0.03514,0.03514,0.03514
29,986.62,1.58348,1.37912,1.14271,0.37801,0.2992,0.28512,0.16264,1.56591,1.34712,1.12505,0.03496,0.03496,0.03496
30,1012.76,1.60499,1.38722,1.13419,0.39751,0.29413,0.28209,0.16212,1.57222,1.3505,1.12127,0.03478,0.03478,0.03478
