epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.911,3.77288,3.9512,2.98127,0.01097,0.00191,0.00578,0.00164,3.94972,4.45994,3.06442,0.0881176,0.00792157,0.00792157
2,97.2168,2.72513,2.88856,1.94447,0.05611,0.07494,0.03881,0.01609,2.55666,inf,1.9404,0.076046,0.0158499,0.0158499
3,148.222,2.4036,2.55895,1.67901,0.09626,0.14762,0.08167,0.03605,2.23087,4.76925,1.66094,0.0639024,0.0237063,0.0237063
4,173.258,2.21249,2.29365,1.55071,0.10442,0.09608,0.06407,0.02915,2.44372,2.89438,1.74703,0.0516867,0.0314906,0.0314906
5,202.022,2.05566,2.10753,1.45371,0.10648,0.10844,0.05743,0.02661,2.29645,2.77777,1.61827,0.0393991,0.039203,0.039203
6,234.886,1.92715,2.02122,1.41551,0.10984,0.11864,0.08023,0.03779,2.37496,2.88925,1.56634,0.0391,0.0391,0.0391
7,254.15,1.84157,1.83495,1.36021,0.19808,0.17276,0.13532,0.06631,2.00324,1.90025,1.38186,0.03892,0.03892,0.03892
8,273.765,1.82328,1.76623,1.32915,0.21462,0.20255,0.14789,0.07632,1.82955,1.76612,1.31275,0.03874,0.03874,0.03874
9,296.046,1.77446,1.67669,1.28976,0.26343,0.25692,0.18212,0.09761,1.78692,1.75232,1.28785,0.03856,0.03856,0.03856
10,317.755,1.7421,1.63504,1.27299,0.25177,0.22285,0.17908,0.09587,1.7831,1.63711,1.28699,0.03838,0.03838,0.03838
11,335.699,1.72771,1.61917,1.26047,0.27659,0.23389,0.19713,0.10919,1.7278,1.57896,1.22562,0.0382,0.0382,0.0382
12,353.891,1.71671,1.57528,1.24798,0.29572,0.22027,0.19599,0.10518,1.794,1.59076,1.24399,0.03802,0.03802,0.03802
13,375.841,1.69371,1.54096,1.23472,0.30581,0.26182,0.22018,0.11917,1.70278,1.56755,1.21036,0.03784,0.03784,0.03784
14,394.753,1.66994,1.52386,1.22192,0.3038,0.24821,0.22221,0.12445,1.66837,1.49779,1.20571,0.03766,0.03766,0.03766
15,413.299,1.68559,1.53047,1.21899,0.33135,0.26418,0.23969,0.13291,1.64452,1.44427,1.18355,0.03748,0.03748,0.03748
16,441.056,1.6611,1.49575,1.21724,0.32889,0.26071,0.23446,0.13292,1.64304,1.54177,1.18309,0.0373,0.0373,0.0373
17,460.108,1.64738,1.4901,1.19895,0.31866,0.27669,0.24175,0.13614,1.61736,1.43802,1.1692,0.03712,0.03712,0.03712
18,478.863,1.63188,1.44476,1.19288,0.32318,0.27338,0.24786,0.13812,1.63268,1.44885,1.17358,0.03694,0.03694,0.03694
19,497.233,1.62518,1.44417,1.18869,0.32277,0.27846,0.24894,0.14239,1.62071,1.43152,1.16758,0.03676,0.03676,0.03676
20,515.259,1.61885,1.42812,1.18244,0.36297,0.28405,0.26971,0.15092,1.58622,1.36882,1.15628,0.03658,0.03658,0.03658
21,533.107,1.61812,1.41297,1.18448,0.38399,0.27996,0.27205,0.15513,1.58988,1.36432,1.1482,0.0364,0.0364,0.0364
22,552.27,1.61621,1.4199,1.1684,0.34777,0.29926,0.26515,0.15035,1.57915,1.38814,1.13392,0.03622,0.03622,0.03622
23,569.777,1.60531,1.39843,1.16482,0.34892,0.28218,0.2646,0.15029,1.57487,1.37133,1.14203,0.03604,0.03604,0.03604
24,590.235,1.59847,1.39929,1.15646,0.37781,0.3022,0.28361,0.16109,1.55857,1.34159,1.12797,0.03586,0.03586,0.03586
25,608.125,1.58382,1.36726,1.16502,0.37994,0.2978,0.28544,0.16324,1.55491,1.32042,1.129,0.03568,0.03568,0.03568
26,628.476,1.5915,1.37783,1.15466,0.36674,0.30253,0.283,0.16302,1.54144,1.33316,1.11805,0.0355,0.0355,0.0355
27,652.053,1.60026,1.38944,1.15722,0.38511,0.30361,0.28692,0.16412,1.55312,1.32819,1.12529,0.03532,0.03532,0.03532
28,671.294,1.57736,1.37591,1.15163,0.39081,0.30055,0.29172,0.17038,1.53073,1.3088,1.11525,0.03514,0.03514,0.03514
29,689.646,1.56373,1.346,1.1493,0.40594,0.31107,0.30003,0.17101,1.53704,1.30167,1.12083,0.03496,0.03496,0.03496
30,711.311,1.58328,1.36001,1.14031,0.37458,0.30879,0.28939,0.16655,1.54953,1.31211,1.11806,0.03478,0.03478,0.03478
31,730.94,1.5804,1.34918,1.14416,0.38175,0.31173,0.30025,0.17223,1.52348,1.30291,1.11068,0.0346,0.0346,0.0346
32,748.665,1.55884,1.33603,1.14017,0.40564,0.31487,0.3076,0.17809,1.53387,1.29232,1.11141,0.03442,0.03442,0.03442
33,768.46,1.56757,1.33094,1.13856,0.40205,0.30353,0.30069,0.17454,1.52586,1.30163,1.10866,0.03424,0.03424,0.03424
34,786.628,1.56933,1.33909,1.13726,0.40181,0.32141,0.31592,0.18128,1.52193,1.2732,1.1103,0.03406,0.03406,0.03406
35,804.238,1.57192,1.33608,1.13759,0.42637,0.31207,0.31312,0.17999,1.52378,1.26827,1.10896,0.03388,0.03388,0.03388
36,823.02,1.55507,1.31951,1.13131,0.41247,0.31878,0.31453,0.18242,1.50845,1.26087,1.1017,0.0337,0.0337,0.0337
37,842.621,1.55729,1.32674,1.1297,0.40427,0.32784,0.31364,0.18308,1.49975,1.25653,1.09633,0.03352,0.03352,0.03352
38,862.492,1.54826,1.31109,1.12247,0.41392,0.31956,0.31169,0.17892,1.51352,1.27994,1.10288,0.03334,0.03334,0.03334
39,884.036,1.5503,1.3038,1.11962,0.41475,0.32052,0.3174,0.18351,1.50013,1.24575,1.09957,0.03316,0.03316,0.03316
40,902.956,1.54958,1.30081,1.12216,0.41955,0.32352,0.31826,0.18399,1.49041,1.24309,1.09086,0.03298,0.03298,0.03298
41,920.896,1.53456,1.28377,1.11314,0.42644,0.32205,0.31791,0.18287,1.50329,1.2516,1.09443,0.0328,0.0328,0.0328
42,938.756,1.55263,1.30925,1.11078,0.43508,0.32714,0.32308,0.1888,1.49663,1.24682,1.09639,0.03262,0.03262,0.03262
43,957.964,1.53173,1.28542,1.11479,0.42672,0.32928,0.32615,0.18893,1.48903,1.23514,1.09036,0.03244,0.03244,0.03244
44,976.001,1.54006,1.29933,1.11156,0.42563,0.33184,0.32678,0.18993,1.48528,1.23353,1.08667,0.03226,0.03226,0.03226
45,993.858,1.5306,1.29674,1.11879,0.43444,0.32425,0.32607,0.18812,1.49307,1.2381,1.08895,0.03208,0.03208,0.03208
46,1013.25,1.52608,1.28968,1.11011,0.42137,0.33624,0.33084,0.19199,1.48683,1.22675,1.08678,0.0319,0.0319,0.0319
47,1033.73,1.53674,1.27885,1.11252,0.4412,0.32831,0.32891,0.19144,1.48507,1.22878,1.08756,0.03172,0.03172,0.03172
48,1051.49,1.52424,1.27554,1.10975,0.4304,0.33709,0.32796,0.19181,1.48256,1.21645,1.08059,0.03154,0.03154,0.03154
49,1068.91,1.52377,1.27822,1.10781,0.42478,0.33279,0.3294,0.19305,1.47263,1.22193,1.08043,0.03136,0.03136,0.03136
50,1087.19,1.51239,1.26131,1.09906,0.42458,0.3406,0.33192,0.19255,1.47925,1.21974,1.07964,0.03118,0.03118,0.03118
51,1105.03,1.51661,1.26285,1.10288,0.42947,0.34058,0.33556,0.19703,1.46397,1.20592,1.07952,0.031,0.031,0.031
52,1126.06,1.52719,1.27006,1.10835,0.42053,0.34677,0.33541,0.19648,1.46398,1.2023,1.07496,0.03082,0.03082,0.03082
53,1146.61,1.53732,1.27599,1.10867,0.42389,0.33997,0.3367,0.1966,1.46178,1.20439,1.07563,0.03064,0.03064,0.03064
54,1165.12,1.49832,1.2587,1.10181,0.42902,0.34128,0.33455,0.19511,1.46735,1.20856,1.07371,0.03046,0.03046,0.03046
55,1185.1,1.54197,1.28098,1.10421,0.4327,0.34089,0.33924,0.19885,1.46481,1.19866,1.07513,0.03028,0.03028,0.03028
56,1205.15,1.5148,1.25553,1.10173,0.43684,0.33354,0.33734,0.1976,1.46195,1.19981,1.07096,0.0301,0.0301,0.0301
57,1223.04,1.52313,1.25148,1.10884,0.44358,0.34104,0.33995,0.19886,1.45758,1.1997,1.07258,0.02992,0.02992,0.02992
58,1240.85,1.5503,1.28768,1.11312,0.4503,0.33679,0.34204,0.20023,1.45909,1.18852,1.0727,0.02974,0.02974,0.02974
59,1258.49,1.51784,1.2722,1.09868,0.44442,0.34222,0.34799,0.20446,1.44833,1.1871,1.06757,0.02956,0.02956,0.02956
60,1276.4,1.5035,1.2336,1.09245,0.42974,0.35094,0.34436,0.20205,1.45289,1.1889,1.06833,0.02938,0.02938,0.02938
61,1293.89,1.51928,1.26019,1.09729,0.42975,0.34779,0.34262,0.20117,1.4528,1.1876,1.06684,0.0292,0.0292,0.0292
62,1310.99,1.51209,1.2486,1.10179,0.43668,0.34954,0.3472,0.20445,1.45049,1.18231,1.06613,0.02902,0.02902,0.02902
63,1328.11,1.47844,1.22613,1.09066,0.44026,0.34475,0.34237,0.20079,1.44939,1.17994,1.06887,0.02884,0.02884,0.02884
64,1345.8,1.5137,1.25806,1.10055,0.43999,0.35256,0.34963,0.20541,1.44959,1.17934,1.06408,0.02866,0.02866,0.02866
65,1363.65,1.49496,1.23356,1.09632,0.44327,0.35223,0.34694,0.20361,1.44808,1.1805,1.06574,0.02848,0.02848,0.02848
66,1381.18,1.50607,1.225,1.08815,0.44057,0.35023,0.3497,0.20618,1.4435,1.16988,1.06263,0.0283,0.0283,0.0283
67,1398.76,1.50749,1.23784,1.08921,0.44951,0.35061,0.35157,0.20608,1.44541,1.17782,1.06396,0.02812,0.02812,0.02812
68,1416.77,1.488,1.21122,1.08364,0.4407,0.35248,0.35262,0.20661,1.44227,1.16843,1.06195,0.02794,0.02794,0.02794
69,1435.2,1.49226,1.22506,1.08256,0.43672,0.35271,0.3496,0.20514,1.44138,1.167,1.06075,0.02776,0.02776,0.02776
70,1452.69,1.5079,1.231,1.09731,0.44639,0.34718,0.3507,0.20681,1.44297,1.16717,1.06118,0.02758,0.02758,0.02758
71,1471.75,1.50407,1.22988,1.08531,0.45366,0.34876,0.35347,0.2071,1.44202,1.16578,1.06246,0.0274,0.0274,0.0274
72,1489.08,1.4887,1.21814,1.08399,0.45429,0.35337,0.35483,0.20854,1.43645,1.15836,1.06037,0.02722,0.02722,0.02722
