                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8462,                 4.5378,                 3.3564,                0.46936,                0.01543,                0.00169,                 0.0005,                 3.3836,                 4.3759,                  3.027,               0.070085,              0.0033239,              0.0033239
                      2,                 2.9641,                 3.5783,                 2.4196,                0.48178,                0.02134,                0.00643,                0.00231,                 2.9541,                 4.3641,                 2.6398,               0.040055,              0.0066273,              0.0066273
                      3,                 2.6604,                  3.163,                 2.1249,                0.30957,                 0.0347,                0.01477,                0.00471,                 2.6619,                 3.5719,                 2.4192,              0.0099951,              0.0099006,              0.0099006
                      4,                 2.3859,                 2.8399,                 1.8931,                0.06046,                0.04636,                 0.0173,                0.00581,                 2.5337,                 4.2871,                 2.3188,               0.009865,               0.009865,               0.009865
                      5,                  2.143,                 2.5539,                 1.7617,                0.20957,                0.07306,                0.03729,                0.01339,                 2.3128,                 3.3848,                 2.1073,                0.00982,                0.00982,                0.00982
                      6,                 1.9611,                 2.3172,                  1.656,                0.10423,                0.07454,                0.04451,                0.01485,                  2.325,                 3.1291,                 2.0768,               0.009775,               0.009775,               0.009775
                      7,                 1.8439,                 2.1533,                 1.5874,                0.19673,                0.09279,                 0.0709,                0.02836,                 2.1347,                 2.8837,                 1.9818,                0.00973,                0.00973,                0.00973
                      8,                 1.7467,                 2.0098,                 1.5388,                0.23309,                0.11974,                0.09158,                0.03869,                 1.9202,                 2.6799,                  1.856,               0.009685,               0.009685,               0.009685
                      9,                 1.6761,                 1.8898,                 1.4934,                0.32462,                0.13432,                0.10876,                0.04628,                 1.8423,                 2.5239,                 1.8039,                0.00964,                0.00964,                0.00964
                     10,                 1.6154,                 1.7898,                 1.4439,                0.25852,                0.14162,                0.11869,                0.05232,                 1.8495,                 2.5724,                 1.7613,               0.009595,               0.009595,               0.009595
                     11,                 1.8741,                 2.8636,                 1.9319,                0.34948,                0.11829,                0.09756,                0.04424,                 2.0057,                 2.5559,                 1.8162,                0.00955,                0.00955,                0.00955
                     12,                 1.7789,                 2.6073,                 1.8402,                0.46862,                0.15478,                0.14471,                0.06771,                 1.7149,                 2.3159,                 1.6996,               0.009505,               0.009505,               0.009505
                     13,                 1.7373,                 2.4262,                 1.7933,                0.44797,                0.13743,                0.12492,                0.05444,                 1.9522,                 2.4057,                 1.7844,                0.00946,                0.00946,                0.00946
                     14,                 1.7045,                 2.4399,                 1.7712,                0.43089,                0.15628,                0.16003,                0.07645,                 1.7331,                 2.1673,                 1.6644,               0.009415,               0.009415,               0.009415
                     15,                 1.6361,                   2.25,                 1.7498,                0.49316,                0.18314,                0.18006,                0.08871,                  1.656,                  2.219,                 1.6285,                0.00937,                0.00937,                0.00937
                     16,                 1.5884,                 2.1842,                 1.7081,                0.49589,                0.18304,                  0.193,                0.09959,                 1.5928,                 2.1395,                 1.5627,               0.009325,               0.009325,               0.009325
                     17,                  1.622,                 2.1113,                 1.6642,                0.57922,                0.16879,                0.17449,                0.08686,                 1.7565,                 2.3572,                 1.5856,                0.00928,                0.00928,                0.00928
                     18,                 1.5797,                 2.0453,                 1.6392,                0.62294,                0.20245,                0.20638,                0.10744,                 1.6163,                 1.8867,                 1.5244,               0.009235,               0.009235,               0.009235
                     19,                 1.5337,                  1.951,                  1.617,                0.64678,                0.19322,                0.19681,                0.10324,                 1.6562,                 2.1061,                 1.5492,                0.00919,                0.00919,                0.00919
                     20,                 1.5787,                 1.9348,                 1.6139,                 0.5768,                0.22289,                0.22879,                0.11881,                 1.5443,                 1.9044,                 1.5056,               0.009145,               0.009145,               0.009145
                     21,                 1.5358,                 1.8693,                  1.591,                0.56137,                0.21574,                0.22111,                0.11412,                 1.5699,                 1.9179,                  1.512,                 0.0091,                 0.0091,                 0.0091
                     22,                 1.5234,                 1.8701,                 1.5878,                0.47118,                0.23286,                0.22816,                0.11897,                 1.5337,                  1.998,                 1.4829,               0.009055,               0.009055,               0.009055
                     23,                 1.5516,                 1.7975,                 1.5447,                 0.5395,                0.22989,                  0.234,                0.12065,                 1.5735,                 1.8669,                  1.482,                0.00901,                0.00901,                0.00901
                     24,                  1.537,                 1.8787,                 1.5507,                0.55836,                0.24215,                0.24866,                0.13281,                 1.5239,                 1.8497,                 1.4483,               0.008965,               0.008965,               0.008965
                     25,                 1.5432,                 1.7188,                 1.5419,                0.46636,                0.25431,                0.25327,                0.13385,                 1.5431,                  1.704,                 1.4461,                0.00892,                0.00892,                0.00892
                     26,                 1.5199,                 1.7508,                 1.5542,                0.60589,                0.24192,                0.25502,                0.13549,                 1.5204,                 1.7311,                  1.449,               0.008875,               0.008875,               0.008875
                     27,                 1.5165,                 1.7271,                 1.5316,                0.48168,                0.25738,                0.25531,                0.14022,                 1.4813,                 1.7678,                 1.4164,                0.00883,                0.00883,                0.00883
                     28,                 1.5461,                 1.6803,                 1.5136,                0.47815,                0.27514,                0.26148,                0.14241,                  1.476,                  1.679,                 1.4049,               0.008785,               0.008785,               0.008785
                     29,                 1.5321,                 1.6535,                 1.4873,                0.50486,                 0.2545,                0.26347,                0.14188,                 1.5668,                 1.6754,                 1.4212,                0.00874,                0.00874,                0.00874
                     30,                 1.5308,                 1.6197,                 1.4921,                0.53067,                0.26347,                0.27467,                0.14922,                 1.5283,                 1.8016,                 1.4047,               0.008695,               0.008695,               0.008695
                     31,                 1.5225,                 1.6294,                 1.4687,                0.57865,                0.27081,                0.28096,                0.15269,                 1.5106,                 1.6233,                 1.3865,                0.00865,                0.00865,                0.00865
                     32,                 1.5071,                 1.5598,                 1.4661,                 0.5655,                0.26916,                0.27791,                0.15098,                 1.4741,                 1.7012,                 1.3717,               0.008605,               0.008605,               0.008605
                     33,                 1.5265,                 1.5982,                 1.4733,                0.52874,                 0.2725,                0.28045,                0.15348,                 1.5242,                 1.6067,                 1.3774,                0.00856,                0.00856,                0.00856
                     34,                 1.5382,                 1.5255,                 1.4512,                0.59017,                0.27848,                0.29438,                0.16228,                  1.504,                  1.609,                 1.3668,               0.008515,               0.008515,               0.008515
                     35,                 1.5414,                 1.5695,                 1.4564,                0.45991,                0.28411,                  0.283,                0.15551,                 1.5299,                   1.59,                 1.3727,                0.00847,                0.00847,                0.00847
                     36,                 1.5058,                 1.5284,                 1.4407,                0.55908,                0.29353,                0.29137,                0.15924,                 1.5059,                 1.5966,                 1.3521,               0.008425,               0.008425,               0.008425
                     37,                 1.5229,                 1.5378,                 1.4251,                 0.5711,                0.29254,                 0.2944,                0.16157,                 1.5299,                 1.5545,                 1.3547,                0.00838,                0.00838,                0.00838
                     38,                 1.5174,                 1.5049,                 1.4261,                0.52046,                  0.292,                0.29476,                0.16332,                 1.5773,                 1.5545,                 1.3564,               0.008335,               0.008335,               0.008335
                     39,                 1.5359,                 1.4779,                  1.429,                0.57412,                 0.2979,                0.30692,                0.17007,                 1.5293,                 1.5202,                 1.3427,                0.00829,                0.00829,                0.00829
                     40,                 1.4956,                 1.4499,                 1.4056,                0.58749,                0.28964,                0.30187,                0.16709,                  1.565,                 1.5424,                  1.344,               0.008245,               0.008245,               0.008245
                     41,                 1.5083,                 1.4381,                 1.4077,                0.57195,                0.29822,                0.31066,                0.17506,                 1.5386,                 1.5318,                 1.3328,                 0.0082,                 0.0082,                 0.0082
                     42,                 1.5033,                  1.452,                 1.4123,                0.56031,                0.28339,                0.28603,                 0.1582,                 1.6566,                 1.6286,                 1.3646,               0.008155,               0.008155,               0.008155
                     43,                 1.5341,                 1.4146,                 1.3834,                0.61236,                0.30978,                0.32669,                0.18235,                 1.5263,                 1.5086,                 1.3209,                0.00811,                0.00811,                0.00811
                     44,                 1.4978,                 1.4121,                 1.3917,                0.55851,                0.31239,                0.31649,                0.17775,                 1.5236,                 1.4804,                 1.3211,               0.008065,               0.008065,               0.008065
                     45,                 1.4737,                 1.3836,                 1.3917,                0.61323,                0.29315,                0.30734,                0.17254,                 1.5728,                 1.5461,                 1.3307,                0.00802,                0.00802,                0.00802
                     46,                 1.5188,                 1.4032,                 1.3995,                0.60216,                 0.3169,                0.32756,                0.18455,                 1.5477,                 1.4443,                 1.3236,               0.007975,               0.007975,               0.007975
                     47,                 1.5035,                 1.3597,                 1.3664,                0.55875,                0.30347,                 0.3094,                 0.1775,                 1.5594,                 1.5688,                 1.3221,                0.00793,                0.00793,                0.00793
                     48,                 1.4949,                 1.3436,                 1.3645,                0.50619,                0.31612,                0.32636,                0.18393,                 1.5662,                 1.4439,                 1.3126,               0.007885,               0.007885,               0.007885
                     49,                 1.4852,                 1.3307,                 1.3696,                0.52776,                0.32629,                0.33131,                0.18925,                 1.5329,                 1.4399,                 1.3013,                0.00784,                0.00784,                0.00784
                     50,                 1.5231,                 1.3595,                 1.3696,                0.52967,                0.31176,                0.32993,                0.18705,                  1.569,                  1.448,                 1.3063,               0.007795,               0.007795,               0.007795
                     51,                 1.4904,                  1.289,                 1.3508,                0.54295,                0.32909,                 0.3391,                0.19254,                 1.5465,                 1.4211,                 1.2965,                0.00775,                0.00775,                0.00775
                     52,                 1.5221,                 1.3521,                 1.3736,                0.59745,                0.32109,                0.33059,                0.18965,                 1.5736,                 1.4591,                 1.3005,               0.007705,               0.007705,               0.007705
                     53,                 1.5122,                 1.3166,                 1.3512,                0.59669,                0.32136,                0.33364,                0.18916,                 1.5716,                 1.4417,                 1.3031,                0.00766,                0.00766,                0.00766
                     54,                  1.519,                 1.3138,                  1.358,                0.57772,                0.31189,                0.33143,                0.18566,                 1.6001,                 1.4722,                 1.3143,               0.007615,               0.007615,               0.007615
                     55,                 1.4871,                 1.2954,                 1.3477,                0.54096,                0.32342,                0.34321,                0.19244,                 1.5771,                  1.414,                 1.2958,                0.00757,                0.00757,                0.00757
                     56,                 1.4997,                 1.2858,                 1.3416,                0.54381,                0.32023,                0.34311,                 0.1931,                 1.5891,                 1.4209,                 1.2902,               0.007525,               0.007525,               0.007525
                     57,                 1.5175,                 1.2964,                 1.3466,                0.61845,                0.31434,                0.33413,                0.19011,                  1.593,                 1.4669,                 1.2985,                0.00748,                0.00748,                0.00748
                     58,                 1.5136,                 1.2794,                   1.33,                0.63057,                0.32239,                0.34465,                0.19648,                 1.5567,                 1.4517,                   1.29,               0.007435,               0.007435,               0.007435
                     59,                 1.5518,                 1.3087,                 1.3404,                0.53819,                0.32733,                0.33932,                0.19389,                 1.5769,                 1.4419,                  1.287,                0.00739,                0.00739,                0.00739
                     60,                 1.5059,                 1.2796,                 1.3355,                0.59599,                0.32207,                0.33744,                0.18868,                 1.5954,                 1.4323,                 1.2923,               0.007345,               0.007345,               0.007345
                     61,                   1.54,                 1.2979,                 1.3464,                0.54617,                0.32356,                0.33613,                0.19013,                 1.6097,                 1.4192,                 1.2946,                 0.0073,                 0.0073,                 0.0073
                     62,                 1.5006,                 1.2355,                 1.3253,                0.63461,                 0.3265,                0.35063,                0.20208,                 1.5683,                 1.4062,                 1.2769,               0.007255,               0.007255,               0.007255
                     63,                 1.5229,                 1.2517,                 1.3207,                0.56776,                0.32866,                0.35371,                0.20225,                 1.5772,                  1.443,                 1.2795,                0.00721,                0.00721,                0.00721
                     64,                  1.503,                 1.2586,                 1.3126,                0.55781,                0.34006,                0.35633,                0.20416,                 1.5468,                 1.3658,                  1.273,               0.007165,               0.007165,               0.007165
                     65,                 1.5106,                 1.2336,                  1.313,                0.57886,                0.33216,                0.36072,                 0.2076,                 1.5759,                 1.3868,                 1.2725,                0.00712,                0.00712,                0.00712
                     66,                 1.4846,                 1.2042,                  1.295,                0.61764,                0.33735,                0.35754,                0.20872,                 1.5666,                 1.3629,                 1.2674,               0.007075,               0.007075,               0.007075
                     67,                 1.5035,                 1.2369,                 1.3166,                0.62208,                0.34573,                 0.3666,                0.21328,                 1.5714,                 1.3556,                 1.2691,                0.00703,                0.00703,                0.00703
                     68,                 1.4977,                  1.195,                    1.3,                0.59714,                0.34926,                0.35904,                0.20745,                 1.5897,                  1.378,                 1.2736,               0.006985,               0.006985,               0.006985
                     69,                 1.5221,                 1.2099,                 1.2985,                0.65208,                0.34453,                0.36653,                0.21245,                 1.5673,                 1.3196,                 1.2634,                0.00694,                0.00694,                0.00694
                     70,                 1.5203,                 1.2043,                 1.2857,                0.56102,                0.35384,                0.36704,                0.21303,                 1.5682,                 1.3415,                 1.2593,               0.006895,               0.006895,               0.006895
                     71,                 1.5381,                 1.2111,                 1.2904,                0.62788,                0.35142,                0.36457,                0.21359,                 1.5569,                 1.3667,                 1.2573,                0.00685,                0.00685,                0.00685
                     72,                 1.4961,                 1.1893,                 1.2902,                0.67133,                0.33594,                0.36479,                0.21243,                 1.5786,                 1.3858,                 1.2671,               0.006805,               0.006805,               0.006805
                     73,                 1.4975,                 1.1758,                 1.2904,                0.54184,                0.36161,                0.36703,                0.21487,                 1.5544,                 1.3337,                 1.2536,                0.00676,                0.00676,                0.00676
                     74,                 1.5133,                 1.2073,                  1.296,                0.59139,                0.35484,                0.37874,                0.22033,                 1.5514,                 1.3143,                 1.2575,               0.006715,               0.006715,               0.006715
                     75,                 1.4978,                 1.1864,                 1.2941,                0.58719,                 0.3489,                0.37396,                0.21518,                 1.5958,                 1.3272,                 1.2619,                0.00667,                0.00667,                0.00667
                     76,                 1.5362,                 1.1966,                 1.2818,                0.56386,                0.34821,                0.36405,                0.21113,                 1.5936,                 1.3573,                 1.2582,               0.006625,               0.006625,               0.006625
